filename,site,true_class_from_name,pred_class_idx,pred_class_label,pred_conf
01130080_g12_antelope.jpg,g12,antelope,4,bushbuck,0.8052700161933899
05250010_f11_antelope.jpg,f11,antelope,3,impala,0.41234660148620605
07140751_e02_antelope.jpg,e02,antelope,2,warthog,0.43771132826805115
2016 07 21 10 36 01_m08_antelope.jpg,m08,antelope,0,waterbuck,0.9969497323036194
2016 11 04 02 45 25_i06_antelope.jpg,i06,antelope,0,waterbuck,0.8528660535812378
EK000220_g10_antelope.jpg,g10,antelope,8,nyala,0.7841256260871887
06020741_g08_antelope.jpg,g08,antelope,4,bushbuck,0.9821797609329224
2016 08 27 22 05 44_l07_antelope.jpg,l07,antelope,4,bushbuck,0.6092517375946045
2016 10 29 11 14 39_e02_antelope.jpg,e02,antelope,0,waterbuck,0.44564446806907654
04220034_h03_antelope.jpg,h03,antelope,5,oribi,0.37431633472442627
12010603_d07_antelope.jpg,d07,antelope,2,warthog,0.9065706729888916
08170051_e08_antelope.jpg,e08,antelope,0,waterbuck,0.32709801197052
11190279_d07_antelope.jpg,d07,antelope,6,elephant,0.948593020439148
2016 07 20 22 00 49_c06_antelope.jpg,c06,antelope,4,bushbuck,0.6062641739845276
EK000112_h11_antelope.jpg,h11,antelope,4,bushbuck,0.6985101103782654
EK008182_h05_antelope.jpg,h05,antelope,0,waterbuck,0.48136746883392334
03130540_h03_antelope.jpg,h03,antelope,0,waterbuck,0.9954612851142883
06250094_c08_antelope.jpg,c08,antelope,6,elephant,0.3889194428920746
EK000343_b07_antelope.jpg,b07,antelope,9,wildebeest,0.5179842710494995
12010605_d07_antelope.jpg,d07,antelope,4,bushbuck,0.6956603527069092
2016 07 07 19 17 50_f01_antelope.jpg,f01,antelope,0,waterbuck,0.9924531579017639
EK007030_i08_antelope.jpg,i08,antelope,5,oribi,0.21937663853168488
EK002221_f03_antelope.jpg,f03,antelope,3,impala,0.6881238222122192
2016 08 16 18 24 01_k06_antelope.jpg,k06,antelope,4,bushbuck,0.989402174949646
2016 11 03 17 39 25_h07_antelope.jpg,h07,antelope,2,warthog,0.8893720507621765
EK000483_f01_antelope.jpg,f01,antelope,0,waterbuck,0.5852617621421814
08090044_h07_antelope.jpg,h07,antelope,4,bushbuck,0.5575509667396545
EK000090_h11_antelope.jpg,h11,antelope,4,bushbuck,0.39359113574028015
03240747_g08_antelope.jpg,g08,antelope,0,waterbuck,0.7687700390815735
2016 10 27 21 34 07_e06_antelope.jpg,e06,antelope,4,bushbuck,0.5247865319252014
11110492_k10_antelope.jpg,k10,antelope,4,bushbuck,0.7258227467536926
EK000086_h05_antelope.jpg,h05,antelope,0,waterbuck,0.9249680042266846
03240748_g08_antelope.jpg,g08,antelope,0,waterbuck,0.5537638664245605
2016 07 10 04 43 27_f11_antelope.jpg,f11,antelope,4,bushbuck,0.2967928647994995
12210001_d07_antelope.jpg,d07,antelope,2,warthog,0.3555794358253479
05200485_b09_antelope.jpg,b09,antelope,0,waterbuck,0.922946572303772
07150701_d07_antelope.jpg,d07,antelope,0,waterbuck,0.9081931710243225
2016 08 17 08 42 20_f07_antelope.jpg,f07,antelope,0,waterbuck,0.3033002018928528
2016 11 02 20 48 41_g12_antelope.jpg,g12,antelope,2,warthog,0.5825438499450684
EK000316_e06_antelope.jpg,e06,antelope,8,nyala,0.5860906839370728
03280861_c08_antelope.jpg,c08,antelope,2,warthog,0.9634969234466553
12020410_b07_antelope.jpg,b07,antelope,2,warthog,0.7790272831916809
10240536_i04_antelope.jpg,i04,antelope,0,waterbuck,0.9877954721450806
06260999_l11_antelope.jpg,l11,antelope,4,bushbuck,0.9887091517448425
2016 10 17 07 39 39_h07_antelope.jpg,h07,antelope,2,warthog,0.5488775968551636
07310369_b07_antelope.jpg,b07,antelope,0,waterbuck,0.5913923382759094
EK000238_j13_antelope.jpg,j13,antelope,0,waterbuck,0.40427666902542114
2016 07 29 10 32 08_k04_antelope.jpg,k04,antelope,2,warthog,0.8907858729362488
10170069_l05_antelope.jpg,l05,antelope,6,elephant,0.401257187128067
08190516_a10_antelope.jpg,a10,antelope,1,baboon,0.6146216988563538
08230764_g08_antelope.jpg,g08,antelope,1,baboon,0.5826770067214966
EK008104_01_h05_antelope.jpg,h05,antelope,3,impala,0.3940719962120056
EK001819_03_f07_antelope.jpg,f07,antelope,0,waterbuck,0.48902827501296997
06030743_g08_antelope.jpg,g08,antelope,3,impala,0.56840980052948
EK000280_j03_antelope.jpg,j03,antelope,4,bushbuck,0.5249348282814026
05030664_e08_antelope.jpg,e08,antelope,3,impala,0.43050703406333923
12140257_c08_antelope.jpg,c08,antelope,4,bushbuck,0.5103446245193481
EK006731_e06_antelope.jpg,e06,antelope,2,warthog,0.32436347007751465
EK001066_h11_antelope.jpg,h11,antelope,4,bushbuck,0.9896935820579529
08010674_g08_antelope.jpg,g08,antelope,2,warthog,0.8917363286018372
B_EK003816_02_k06_antelope.jpg,k06,antelope,2,warthog,0.6500515341758728
06240426_f05_antelope.jpg,f05,antelope,2,warthog,0.3537389039993286
2016 10 21 02 58 35_f01_antelope.jpg,f01,antelope,0,waterbuck,0.6646369695663452
2016 10 30 01 12 51_e02_antelope.jpg,e02,antelope,6,elephant,0.3170913755893707
EK006934_01_f07_antelope.jpg,f07,antelope,7,genet,0.6630033850669861
04190406_f11_antelope.jpg,f11,antelope,0,waterbuck,0.6707342267036438
