filename,site,true_class_from_name,pred_class_idx,pred_class_label,pred_conf
04120656_g08_bird_other.jpg,g08,bird_other,6,elephant,0.3497750461101532
2016 09 22 11 35 28_k08_bird_other.jpg,k08,bird_other,1,baboon,0.6796217560768127
2016 10 23 05 05 07_f01_bird_other.jpg,f01,bird_other,2,warthog,0.8152140378952026
2016 08 07 11 07 46_k10_bird_other.jpg,k10,bird_other,1,baboon,0.8521613478660583
EK002470_03_f03_bird_other.jpg,f03,bird_other,4,bushbuck,0.43576863408088684
2016 07 23 13 40 32_e04_bird_other.jpg,e04,bird_other,2,warthog,0.928011417388916
2016 08 07 07 57 46_d03_bird_other.jpg,d03,bird_other,1,baboon,0.637821614742279
01260090_h09_bird_other.jpg,h09,bird_other,15,mongoose_banded,0.8920719027519226
EK000621_h11_bird_other.jpg,h11,bird_other,1,baboon,0.8447972536087036
EK000532_h11_bird_other.jpg,h11,bird_other,1,baboon,0.8164128661155701
2016 07 20 07 04 33_j05_bird_other.jpg,j05,bird_other,1,baboon,0.6901680827140808
EK001187_e06_bird_other.jpg,e06,bird_other,2,warthog,0.9326470494270325
2016 08 29 07 47 08_b05_bird_other.jpg,b05,bird_other,2,warthog,0.6699735522270203
2016 07 22 06 31 36_i04_bird_other.jpg,i04,bird_other,0,waterbuck,0.9593412280082703
2016 09 13 10 55 22_h09_bird_other.jpg,h09,bird_other,2,warthog,0.6510721445083618
2016 07 26 09 11 56_c08_bird_other.jpg,c08,bird_other,2,warthog,0.43527984619140625
2016 08 14 13 17 13_k08_bird_other.jpg,k08,bird_other,2,warthog,0.5128928422927856
2016 08 31 13 29 07_k08_bird_other.jpg,k08,bird_other,2,warthog,0.5600873827934265
2016 07 28 12 02 04_h13_bird_other.jpg,h13,bird_other,1,baboon,0.757200300693512
07050258_f05_bird_other.jpg,f05,bird_other,1,baboon,0.5014672875404358
2016 10 11 06 17 46_l05_bird_other.jpg,l05,bird_other,1,baboon,0.7062406539916992
EK009361_e04_bird_other.jpg,e04,bird_other,3,impala,0.5510947108268738
2016 10 13 15 19 37_h05_bird_other.jpg,h05,bird_other,1,baboon,0.8937243223190308
EK009133_e04_bird_other.jpg,e04,bird_other,2,warthog,0.997014045715332
2016 10 18 06 02 19_a06_bird_other.jpg,a06,bird_other,1,baboon,0.7154781222343445
07270348_c06_bird_other.jpg,c06,bird_other,4,bushbuck,0.3317112624645233
01130925_k04_bird_other.jpg,k04,bird_other,0,waterbuck,0.6816856861114502
2016 10 20 10 36 20_l05_bird_other.jpg,l05,bird_other,2,warthog,0.8067207336425781
11180156_f05_bird_other.jpg,f05,bird_other,1,baboon,0.932235062122345
2016 09 02 05 35 32_c06_bird_other.jpg,c06,bird_other,2,warthog,0.8451446890830994
2016 09 05 12 22 42_g12_bird_other.jpg,g12,bird_other,1,baboon,0.6438528299331665
01100910_g08_bird_other.jpg,g08,bird_other,11,civet,0.32570070028305054
2016 09 15 13 13 56_k08_bird_other.jpg,k08,bird_other,1,baboon,0.8907291889190674
EK000219_k06_bird_other.jpg,k06,bird_other,2,warthog,0.5991221070289612
EK001066_j09_bird_other.jpg,j09,bird_other,2,warthog,0.7137559652328491
02140131_b07_bird_other.jpg,b07,bird_other,1,baboon,0.9983805418014526
11090568_g08_bird_other.jpg,g08,bird_other,2,warthog,0.591958224773407
2016 10 07 17 56 33_e10_bird_other.jpg,e10,bird_other,2,warthog,0.9365274310112
11260256_j05_bird_other.jpg,j05,bird_other,2,warthog,0.789382815361023
07060512_g02_bird_other.jpg,g02,bird_other,1,baboon,0.4422752857208252
EK000057_h11_bird_other.jpg,h11,bird_other,2,warthog,0.7326878905296326
09170645_f01_bird_other.jpg,f01,bird_other,4,bushbuck,0.45039090514183044
08310038_j05_bird_other.jpg,j05,bird_other,14,mongoose_slender,0.3121751546859741
EK000782_e04_bird_other.jpg,e04,bird_other,2,warthog,0.6280696988105774
EK001509_j09_bird_other.jpg,j09,bird_other,1,baboon,0.8711749315261841
02150241_g08_bird_other.jpg,g08,bird_other,2,warthog,0.4856216013431549
EK001684_h05_bird_other.jpg,h05,bird_other,2,warthog,0.9316260814666748
2016 10 09 11 25 20_l13_bird_other.jpg,l13,bird_other,2,warthog,0.5864539742469788
2016 08 12 11 56 37_k04_bird_other.jpg,k04,bird_other,2,warthog,0.770358681678772
EK001071_j09_bird_other.jpg,j09,bird_other,1,baboon,0.5188809633255005
EK000485_j09_bird_other.jpg,j09,bird_other,7,genet,0.8825516104698181
2016 09 26 11 24 33_a06_bird_other.jpg,a06,bird_other,2,warthog,0.7731576561927795
2016 09 10 11 15 59_k08_bird_other.jpg,k08,bird_other,1,baboon,0.8375363349914551
12280956_g06_bird_other.jpg,g06,bird_other,2,warthog,0.9737053513526917
2016 10 08 05 14 37_j09_bird_other.jpg,j09,bird_other,2,warthog,0.9338085055351257
EK001261_e04_bird_other.jpg,e04,bird_other,2,warthog,0.5644711852073669
12280124_e02_bird_other.jpg,e02,bird_other,2,warthog,0.9477092623710632
2016 07 12 12 08 22_k04_bird_other.jpg,k04,bird_other,2,warthog,0.9587024450302124
2016 10 27 04 38 43_j09_bird_other.jpg,j09,bird_other,1,baboon,0.4815930426120758
EK000511_h11_bird_other.jpg,h11,bird_other,1,baboon,0.720566987991333
2016 08 22 16 22 01_c06_bird_other.jpg,c06,bird_other,1,baboon,0.5048444271087646
